WILMK     	5	32.380000000000003	19960704000000	10248	19960801000000	59 rue de l'Abbaye	Reims	France	Vins et alcools Chevalier	19960716000000	51100		3
TRADH     	6	11.609999999999999	19960705000000	10249	19960816000000	Luisenstr. 48	Munster	Germany	Toms Spezialitaten	19960710000000	44087		1
HANAR     	4	65.829999999999998	19960708000000	10250	19960805000000	Rua do Paco, 67	Rio de Janeiro	Brazil	Hanari Carnes	19960712000000	05454-876	RJ	2
VICTE     	3	41.340000000000003	19960708000000	10251	19960805000000	2, rue du Commerce	Lyon	France	Victuailles en stock	19960715000000	69004		1
SUPRD     	4	51.299999999999997	19960709000000	10252	19960806000000	Boulevard Tirou, 255	Charleroi	Belgium	Supremes delices	19960711000000	B-6000		2
HANAR     	3	58.170000000000002	19960710000000	10253	19960724000000	Rua do Paco, 67	Rio de Janeiro	Brazil	Hanari Carnes	19960716000000	05454-876	RJ	2
CHOPS     	5	22.98	19960711000000	10254	19960808000000	Hauptstr. 31	Bern	Switzerland	Chop-suey Chinese	19960723000000	3012		2
RICSU     	9	148.33000000000001	19960712000000	10255	19960809000000	Starenweg 5	Geneve	Switzerland	Richter Supermarkt	19960715000000	1204		3
WELLI     	3	13.970000000000001	19960715000000	10256	19960812000000	Rua do Mercado, 12	Resende	Brazil	Wellington Importadora	19960717000000	08737-363	SP	2
HILAA     	4	81.909999999999997	19960716000000	10257	19960813000000	Carrera 22 con Ave. Carlos Soublette #8-35	San Cristobal	Venezuela	HILARION-Abastos	19960722000000	5022	Tachira	3
ERNSH     	1	140.50999999999999	19960717000000	10258	19960814000000	Kirchgasse 6	Graz	Austria	Ernst Handel	19960723000000	8010		1
CENTC     	4	3.25	19960718000000	10259	19960815000000	Sierras de Granada 9993	Mexico D.F.	Mexico	Centro comercial Moctezuma	19960725000000	05022		3
OLDWO     	4	55.090000000000003	19960719000000	10260	19960816000000	Mehrheimerstr. 369	Koln	Germany	Ottilies Kaseladen	19960729000000	50739		1
QUEDE     	4	3.0499999999999998	19960719000000	10261	19960816000000	Rua da Panificadora, 12	Rio de Janeiro	Brazil	Que Delicia	19960730000000	02389-673	RJ	2
RATTC     	8	48.289999999999999	19960722000000	10262	19960819000000	2817 Milton Dr.	Albuquerque	USA	Rattlesnake Canyon Grocery	19960725000000	87110	NM	3
ERNSH     	9	146.06	19960723000000	10263	19960820000000	Kirchgasse 6	Graz	Austria	Ernst Handel	19960731000000	8010		3
FOLKO     	6	3.6699999999999999	19960724000000	10264	19960821000000	Akergatan 24	Bracke	Sweden	Folk och fa HB	19960823000000	S-844 67		3
BLONP     	2	55.280000000000001	19960725000000	10265	19960822000000	24, place Kleber	Strasbourg	France	Blondel pere et fils	19960812000000	67000		1
WARTH     	3	25.73	19960726000000	10266	19960906000000	Torikatu 38	Oulu	Finland	Wartian Herkku	19960731000000	90110		3
FRANK     	4	208.58000000000001	19960729000000	10267	19960826000000	Berliner Platz 43	Munchen	Germany	Frankenversand	19960806000000	80805		1
GROSR     	8	66.290000000000006	19960730000000	10268	19960827000000	5? Ave. Los Palos Grandes	Caracas	Venezuela	GROSELLA-Restaurante	19960802000000	1081	DF	3
WHITC     	5	4.5599999999999996	19960731000000	10269	19960814000000	1029 - 12th Ave. S.	Seattle	USA	White Clover Markets	19960809000000	98124	WA	1
WARTH     	1	136.53999999999999	19960801000000	10270	19960829000000	Torikatu 38	Oulu	Finland	Wartian Herkku	19960802000000	90110		1
SPLIR     	6	4.54	19960801000000	10271	19960829000000	P.O. Box 555	Lander	USA	Split Rail Beer & Ale	19960830000000	82520	WY	2
RATTC     	6	98.030000000000001	19960802000000	10272	19960830000000	2817 Milton Dr.	Albuquerque	USA	Rattlesnake Canyon Grocery	19960806000000	87110	NM	2
QUICK     	3	76.069999999999993	19960805000000	10273	19960902000000	Taucherstra?e 10	Cunewalde	Germany	QUICK-Stop	19960812000000	01307		3
VINET     	6	6.0099999999999998	19960806000000	10274	19960903000000	59 rue de l'Abbaye	Reims	France	Vins et alcools Chevalier	19960816000000	51100		1
MAGAA     	1	26.93	19960807000000	10275	19960904000000	Via Ludovico il Moro 22	Bergamo	Italy	Magazzini Alimentari Riuniti	19960809000000	24100		1
TORTU     	8	13.84	19960808000000	10276	19960822000000	Avda. Azteca 123	Mexico D.F.	Mexico	Tortuga Restaurante	19960814000000	05033		3
MORGK     	2	125.77	19960809000000	10277	19960906000000	Heerstr. 22	Leipzig	Germany	Morgenstern Gesundkost	19960813000000	04179		3
BERGS     	8	92.689999999999998	19960812000000	10278	19960909000000	Berguvsvagen  8	Lulea	Sweden	Berglunds snabbkop	19960816000000	S-958 22		2
LEHMS     	8	25.829999999999998	19960813000000	10279	19960910000000	Magazinweg 7	Frankfurt a.M. 	Germany	Lehmanns Marktstand	19960816000000	60528		2
BERGS     	2	8.9800000000000004	19960814000000	10280	19960911000000	Berguvsvagen  8	Lulea	Sweden	Berglunds snabbkop	19960912000000	S-958 22		1
ROMEY     	4	2.9399999999999999	19960814000000	10281	19960828000000	Gran Via, 1	Madrid	Spain	Romero y tomillo	19960821000000	28001		1
ROMEY     	4	12.69	19960815000000	10282	19960912000000	Gran Via, 1	Madrid	Spain	Romero y tomillo	19960821000000	28001		1
LILAS     	3	84.810000000000002	19960816000000	10283	19960913000000	Carrera 52 con Ave. Bolivar #65-98 Llano Largo	Barquisimeto	Venezuela	LILA-Supermercado	19960823000000	3508	Lara	3
LEHMS     	4	76.560000000000002	19960819000000	10284	19960916000000	Magazinweg 7	Frankfurt a.M. 	Germany	Lehmanns Marktstand	19960827000000	60528		1
QUICK     	1	76.829999999999998	19960820000000	10285	19960917000000	Taucherstra?e 10	Cunewalde	Germany	QUICK-Stop	19960826000000	01307		2
QUICK     	8	229.24000000000001	19960821000000	10286	19960918000000	Taucherstra?e 10	Cunewalde	Germany	QUICK-Stop	19960830000000	01307		3
RICAR     	8	12.76	19960822000000	10287	19960919000000	Av. Copacabana, 267	Rio de Janeiro	Brazil	Ricardo Adocicados	19960828000000	02389-890	RJ	3
REGGC     	4	7.4500000000000002	19960823000000	10288	19960920000000	Strada Provinciale 124	Reggio Emilia	Italy	Reggiani Caseifici	19960903000000	42100		1
BSBEV     	7	22.77	19960826000000	10289	19960923000000	Fauntleroy Circus	London	UK	B's Beverages	19960828000000	EC2 5NT		3
COMMI     	8	79.700000000000003	19960827000000	10290	19960924000000	Av. dos Lusiadas, 23	Sao Paulo	Brazil	Comercio Mineiro	19960903000000	05432-043	SP	1
QUEDE     	6	6.4000000000000004	19960827000000	10291	19960924000000	Rua da Panificadora, 12	Rio de Janeiro	Brazil	Que Delicia	19960904000000	02389-673	RJ	2
TRADH     	1	1.3500000000000001	19960828000000	10292	19960925000000	Av. Ines de Castro, 414	Sao Paulo	Brazil	Tradicao Hipermercados	19960902000000	05634-030	SP	2
TORTU     	1	21.18	19960829000000	10293	19960926000000	Avda. Azteca 123	Mexico D.F.	Mexico	Tortuga Restaurante	19960911000000	05033		3
RATTC     	4	147.25999999999999	19960830000000	10294	19960927000000	2817 Milton Dr.	Albuquerque	USA	Rattlesnake Canyon Grocery	19960905000000	87110	NM	2
VINET     	2	1.1499999999999999	19960902000000	10295	19960930000000	59 rue de l'Abbaye	Reims	France	Vins et alcools Chevalier	19960910000000	51100		2
LILAS     	6	0.12	19960903000000	10296	19961001000000	Carrera 52 con Ave. Bolivar #65-98 Llano Largo	Barquisimeto	Venezuela	LILA-Supermercado	19960911000000	3508	Lara	1
BLONP     	5	5.7400000000000002	19960904000000	10297	19961016000000	24, place Kleber	Strasbourg	France	Blondel pere et fils	19960910000000	67000		2
HUNGO     	6	168.22	19960905000000	10298	19961003000000	8 Johnstown Road	Cork	Ireland	Hungry Owl All-Night Grocers	19960911000000		Co. Cork	2
RICAR     	4	29.760000000000002	19960906000000	10299	19961004000000	Av. Copacabana, 267	Rio de Janeiro	Brazil	Ricardo Adocicados	19960913000000	02389-890	RJ	2
MAGAA     	2	17.68	19960909000000	10300	19961007000000	Via Ludovico il Moro 22	Bergamo	Italy	Magazzini Alimentari Riuniti	19960918000000	24100		2
WANDK     	8	45.079999999999998	19960909000000	10301	19961007000000	Adenauerallee 900	Stuttgart	Germany	Die Wandernde Kuh	19960917000000	70563		2
SUPRD     	4	6.2699999999999996	19960910000000	10302	19961008000000	Boulevard Tirou, 255	Charleroi	Belgium	Supremes delices	19961009000000	B-6000		2
GODOS     	7	107.83	19960911000000	10303	19961009000000	C/ Romero, 33	Sevilla	Spain	Godos Cocina Tipica	19960918000000	41101		2
TORTU     	1	63.789999999999999	19960912000000	10304	19961010000000	Avda. Azteca 123	Mexico D.F.	Mexico	Tortuga Restaurante	19960917000000	05033		2
OLDWO     	8	257.62	19960913000000	10305	19961011000000	2743 Bering St.	Anchorage	USA	Old World Delicatessen	19961009000000	99508	AK	3
ROMEY     	1	7.5599999999999996	19960916000000	10306	19961014000000	Gran Via, 1	Madrid	Spain	Romero y tomillo	19960923000000	28001		3
LONEP     	2	0.56000000000000005	19960917000000	10307	19961015000000	89 Chiaroscuro Rd.	Portland	USA	Lonesome Pine Restaurant	19960925000000	97219	OR	2
ANATR     	7	1.6100000000000001	19960918000000	10308	19961016000000	Avda. de la Constitucion 2222	Mexico D.F.	Mexico	Ana Trujillo Emparedados y helados	19960924000000	05021		3
HUNGO     	3	47.299999999999997	19960919000000	10309	19961017000000	8 Johnstown Road	Cork	Ireland	Hungry Owl All-Night Grocers	19961023000000		Co. Cork	1
THEBI     	8	17.52	19960920000000	10310	19961018000000	89 Jefferson Way\nSuite 2	Portland	USA	The Big Cheese	19960927000000	97201	OR	2
DUMON     	1	24.690000000000001	19960920000000	10311	19961004000000	67, rue des Cinquante Otages	Nantes	France	Du monde entier	19960926000000	44000		3
WANDK     	2	40.259999999999998	19960923000000	10312	19961021000000	Adenauerallee 900	Stuttgart	Germany	Die Wandernde Kuh	19961003000000	70563		2
QUICK     	2	1.96	19960924000000	10313	19961022000000	Taucherstra?e 10	Cunewalde	Germany	QUICK-Stop	19961004000000	01307		2
RATTC     	1	74.159999999999997	19960925000000	10314	19961023000000	2817 Milton Dr.	Albuquerque	USA	Rattlesnake Canyon Grocery	19961004000000	87110	NM	2
ISLAT     	4	41.759999999999998	19960926000000	10315	19961024000000	Garden House\nCrowther Way	Cowes	UK	Island Trading	19961003000000	PO31 7PJ	Isle of Wight	2
RATTC     	1	150.15000000000001	19960927000000	10316	19961025000000	2817 Milton Dr.	Albuquerque	USA	Rattlesnake Canyon Grocery	19961008000000	87110	NM	3
LONEP     	6	12.69	19960930000000	10317	19961028000000	89 Chiaroscuro Rd.	Portland	USA	Lonesome Pine Restaurant	19961010000000	97219	OR	1
ISLAT     	8	4.7300000000000004	19961001000000	10318	19961029000000	Garden House\nCrowther Way	Cowes	UK	Island Trading	19961004000000	PO31 7PJ	Isle of Wight	2
TORTU     	7	64.5	19961002000000	10319	19961030000000	Avda. Azteca 123	Mexico D.F.	Mexico	Tortuga Restaurante	19961011000000	05033		3
WARTH     	5	34.57	19961003000000	10320	19961017000000	Torikatu 38	Oulu	Finland	Wartian Herkku	19961018000000	90110		3
ISLAT     	3	3.4300000000000002	19961003000000	10321	19961031000000	Garden House\nCrowther Way	Cowes	UK	Island Trading	19961011000000	PO31 7PJ	Isle of Wight	2
PERIC     	7	0.40000000000000002	19961004000000	10322	19961101000000	Calle Dr. Jorge Cash 321	Mexico D.F.	Mexico	Pericles Comidas clasicas	19961023000000	05033		3
KOENE     	4	4.8799999999999999	19961007000000	10323	19961104000000	Maubelstr. 90	Brandenburg	Germany	Koniglich Essen	19961014000000	14776		1
SAVEA     	9	214.27000000000001	19961008000000	10324	19961105000000	187 Suffolk Ln.	Boise	USA	Save-a-lot Markets	19961010000000	83720	ID	1
KOENE     	1	64.859999999999999	19961009000000	10325	19961023000000	Maubelstr. 90	Brandenburg	Germany	Koniglich Essen	19961014000000	14776		3
BOLID     	4	77.920000000000002	19961010000000	10326	19961107000000	C/ Araquil, 67	Madrid	Spain	Bolido Comidas preparadas	19961014000000	28023		2
FOLKO     	2	63.359999999999999	19961011000000	10327	19961108000000	Akergatan 24	Bracke	Sweden	Folk och fa HB	19961014000000	S-844 67		1
FURIB     	4	87.030000000000001	19961014000000	10328	19961111000000	Jardim das rosas n. 32	Lisboa	Portugal	Furia Bacalhau e Frutos do Mar	19961017000000	1675		3
SPLIR     	4	191.66999999999999	19961015000000	10329	19961126000000	P.O. Box 555	Lander	USA	Split Rail Beer & Ale	19961023000000	82520	WY	2
LILAS     	3	12.75	19961016000000	10330	19961113000000	Carrera 52 con Ave. Bolivar #65-98 Llano Largo	Barquisimeto	Venezuela	LILA-Supermercado	19961028000000	3508	Lara	1
BONAP     	9	10.19	19961016000000	10331	19961127000000	12, rue des Bouchers	Marseille	France	Bon app'	19961021000000	13008		1
MEREP     	3	52.840000000000003	19961017000000	10332	19961128000000	43 rue St. Laurent	Montreal	Canada	Mere Paillarde	19961021000000	H1J 1C3	Quebec	2
WARTH     	5	0.58999999999999997	19961018000000	10333	19961115000000	Torikatu 38	Oulu	Finland	Wartian Herkku	19961025000000	90110		3
VICTE     	8	8.5600000000000005	19961021000000	10334	19961118000000	2, rue du Commerce	Lyon	France	Victuailles en stock	19961028000000	69004		2
HUNGO     	7	42.109999999999999	19961022000000	10335	19961119000000	8 Johnstown Road	Cork	Ireland	Hungry Owl All-Night Grocers	19961024000000		Co. Cork	2
PRINI     	7	15.51	19961023000000	10336	19961120000000	Estrada da saude n. 58	Lisboa	Portugal	Princesa Isabel Vinhos	19961025000000	1756		2
FRANK     	4	108.26000000000001	19961024000000	10337	19961121000000	Berliner Platz 43	Munchen	Germany	Frankenversand	19961029000000	80805		3
OLDWO     	4	84.209999999999994	19961025000000	10338	19961122000000	2743 Bering St.	Anchorage	USA	Old World Delicatessen	19961029000000	99508	AK	3
MEREP     	2	15.66	19961028000000	10339	19961125000000	43 rue St. Laurent	Montreal	Canada	Mere Paillarde	19961104000000	H1J 1C3	Quebec	2
BONAP     	1	166.31	19961029000000	10340	19961126000000	12, rue des Bouchers	Marseille	France	Bon app'	19961108000000	13008		3
SIMOB     	7	26.780000000000001	19961029000000	10341	19961126000000	Vinb?ltet 34	Kobenhavn	Denmark	Simons bistro	19961105000000	1734		3
FRANK     	4	54.829999999999998	19961030000000	10342	19961113000000	Berliner Platz 43	Munchen	Germany	Frankenversand	19961104000000	80805		2
LEHMS     	4	110.37	19961031000000	10343	19961128000000	Magazinweg 7	Frankfurt a.M. 	Germany	Lehmanns Marktstand	19961106000000	60528		1
WHITC     	4	23.289999999999999	19961101000000	10344	19961129000000	1029 - 12th Ave. S.	Seattle	USA	White Clover Markets	19961105000000	98124	WA	2
QUICK     	2	249.06	19961104000000	10345	19961202000000	Taucherstra?e 10	Cunewalde	Germany	QUICK-Stop	19961111000000	01307		2
RATTC     	3	142.08000000000001	19961105000000	10346	19961217000000	2817 Milton Dr.	Albuquerque	USA	Rattlesnake Canyon Grocery	19961108000000	87110	NM	3
FAMIA     	4	3.1000000000000001	19961106000000	10347	19961204000000	Rua Oros, 92	Sao Paulo	Brazil	Familia Arquibaldo	19961108000000	05442-030	SP	3
WANDK     	4	0.78000000000000003	19961107000000	10348	19961205000000	Adenauerallee 900	Stuttgart	Germany	Die Wandernde Kuh	19961115000000	70563		2
SPLIR     	7	8.6300000000000008	19961108000000	10349	19961206000000	P.O. Box 555	Lander	USA	Split Rail Beer & Ale	19961115000000	82520	WY	1
LAMAI     	6	64.189999999999998	19961111000000	10350	19961209000000	1 rue Alsace-Lorraine	Toulouse	France	La maison d'Asie	19961203000000	31000		2
ERNSH     	1	162.33000000000001	19961111000000	10351	19961209000000	Kirchgasse 6	Graz	Austria	Ernst Handel	19961120000000	8010		1
FURIB     	3	1.3	19961112000000	10352	19961126000000	Jardim das rosas n. 32	Lisboa	Portugal	Furia Bacalhau e Frutos do Mar	19961118000000	1675		3
PICCO     	7	360.63	19961113000000	10353	19961211000000	Geislweg 14	Salzburg	Austria	Piccolo und mehr	19961125000000	5020		3
PERIC     	8	53.799999999999997	19961114000000	10354	19961212000000	Calle Dr. Jorge Cash 321	Mexico D.F.	Mexico	Pericles Comidas clasicas	19961120000000	05033		3
AROUT     	6	41.950000000000003	19961115000000	10355	19961213000000	Brook Farm\nStratford St. Mary	Colchester	UK	Around the Horn	19961120000000	CO7 6JX	Essex	1
WANDK     	6	36.710000000000001	19961118000000	10356	19961216000000	Adenauerallee 900	Stuttgart	Germany	Die Wandernde Kuh	19961127000000	70563		2
LILAS     	1	34.880000000000003	19961119000000	10357	19961217000000	Carrera 52 con Ave. Bolivar #65-98 Llano Largo	Barquisimeto	Venezuela	LILA-Supermercado	19961202000000	3508	Lara	3
LAMAI     	5	19.640000000000001	19961120000000	10358	19961218000000	1 rue Alsace-Lorraine	Toulouse	France	La maison d'Asie	19961127000000	31000		1
SEVES     	5	288.43000000000001	19961121000000	10359	19961219000000	90 Wadhurst Rd.	London	UK	Seven Seas Imports	19961126000000	OX15 4NB		3
BLONP     	4	131.69999999999999	19961122000000	10360	19961220000000	24, place Kleber	Strasbourg	France	Blondel pere et fils	19961202000000	67000		3
QUICK     	1	183.16999999999999	19961122000000	10361	19961220000000	Taucherstra?e 10	Cunewalde	Germany	QUICK-Stop	19961203000000	01307		2
BONAP     	3	96.040000000000006	19961125000000	10362	19961223000000	12, rue des Bouchers	Marseille	France	Bon app'	19961128000000	13008		1
DRACD     	4	30.539999999999999	19961126000000	10363	19961224000000	Walserweg 21	Aachen	Germany	Drachenblut Delikatessen	19961204000000	52066		3
EASTC     	1	71.969999999999999	19961126000000	10364	19970107000000	35 King George	London	UK	Eastern Connection	19961204000000	WX3 6FW		1
ANTON     	3	22	19961127000000	10365	19961225000000	Mataderos  2312	Mexico D.F.	Mexico	Antonio Moreno Taqueria	19961202000000	05023		2
GALED     	8	10.140000000000001	19961128000000	10366	19970109000000	Rambla de Cataluna, 23	Barcelona	Spain	Galeria del gastronomo	19961230000000	8022		2
VAFFE     	7	13.550000000000001	19961128000000	10367	19961226000000	Smagsloget 45	Arhus	Denmark	Vaffeljernet	19961202000000	8200		3
ERNSH     	2	101.95	19961129000000	10368	19961227000000	Kirchgasse 6	Graz	Austria	Ernst Handel	19961202000000	8010		2
SPLIR     	8	195.68000000000001	19961202000000	10369	19961230000000	P.O. Box 555	Lander	USA	Split Rail Beer & Ale	19961209000000	82520	WY	2
CHOPS     	6	1.1699999999999999	19961203000000	10370	19961231000000	Hauptstr. 31	Bern	Switzerland	Chop-suey Chinese	19961227000000	3012		2
LAMAI     	1	0.45000000000000001	19961203000000	10371	19961231000000	1 rue Alsace-Lorraine	Toulouse	France	La maison d'Asie	19961224000000	31000		1
QUEEN     	5	890.77999999999997	19961204000000	10372	19970101000000	Alameda dos Canarios, 891	Sao Paulo	Brazil	Queen Cozinha	19961209000000	05487-020	SP	2
HUNGO     	4	124.12	19961205000000	10373	19970102000000	8 Johnstown Road	Cork	Ireland	Hungry Owl All-Night Grocers	19961211000000		Co. Cork	3
WOLZA     	1	3.9399999999999999	19961205000000	10374	19970102000000	ul. Filtrowa 68	Warszawa	Poland	Wolski Zajazd	19961209000000	01-012		3
HUNGC     	3	20.120000000000001	19961206000000	10375	19970103000000	City Center Plaza\n516 Main St.	Elgin	USA	Hungry Coyote Import Store	19961209000000	97827	OR	2
MEREP     	1	20.390000000000001	19961209000000	10376	19970106000000	43 rue St. Laurent	Montreal	Canada	Mere Paillarde	19961213000000	H1J 1C3	Quebec	2
SEVES     	1	22.210000000000001	19961209000000	10377	19970106000000	90 Wadhurst Rd.	London	UK	Seven Seas Imports	19961213000000	OX15 4NB		3
FOLKO     	5	5.4400000000000004	19961210000000	10378	19970107000000	Akergatan 24	Bracke	Sweden	Folk och fa HB	19961219000000	S-844 67		3
QUEDE     	2	45.030000000000001	19961211000000	10379	19970108000000	Rua da Panificadora, 12	Rio de Janeiro	Brazil	Que Delicia	19961213000000	02389-673	RJ	1
HUNGO     	8	35.030000000000001	19961212000000	10380	19970109000000	8 Johnstown Road	Cork	Ireland	Hungry Owl All-Night Grocers	19970116000000		Co. Cork	3
