49 Gilbert St.	London	Exotic Liquids	Charlotte Cooper	Purchasing Manager	UK			(171) 555-2222	EC1 4SD		1
P.O. Box 78934	New Orleans	New Orleans Cajun Delights	Shelley Burke	Order Administrator	USA			(100) 555-4822	70117	LA	2
707 Oxford Rd.	Ann Arbor	Grandma Kelly's Homestead	Regina Murphy	Sales Representative	USA	(313) 555-3349		(313) 555-5735	48104	MI	3
9-8 Sekimai\nMusashino-shi	Tokyo	Tokyo Traders	Yoshi Nagase	Marketing Manager	Japan			(03) 3555-5011	100		4
Calle del Rosal 4	Oviedo	Cooperativa de Quesos 'Las Cabras'	Antonio del Valle Saavedra 	Export Administrator	Spain			(98) 598 76 54	33007	Asturias	5
92 Setsuko\nChuo-ku	Osaka	Mayumi's	Mayumi Ohno	Marketing Representative	Japan		Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#	(06) 431-7877	545		6
74 Rose St.\nMoonie Ponds	Melbourne	Pavlova, Ltd.	Ian Devling	Marketing Manager	Australia	(03) 444-6588		(03) 444-2343	3058	Victoria	7
29 King's Way	Manchester	Specialty Biscuits, Ltd.	Peter Wilson	Sales Representative	UK			(161) 555-4448	M14 GSD		8
Kaloadagatan 13	Goteborg	PB Knackebrod AB	Lars Peterson	Sales Agent	Sweden 	031-987 65 91		031-987 65 43	S-345 67		9
Av. das Americanas 12.890	Sao Paulo	Refrescos Americanas LTDA	Carlos Diaz	Marketing Manager	Brazil			(11) 555 4640	5442		10
Tiergartenstra?e 5	Berlin	Heli Su?waren GmbH & Co. KG	Petra Winkler	Sales Manager	Germany			(010) 9984510	10785		11
Bogenallee 51	Frankfurt	Plutzer Lebensmittelgro?markte AG	Martin Bein	International Marketing Mgr.	Germany		Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#	(069) 992755	60439		12
Frahmredder 112a	Cuxhaven	Nord-Ost-Fisch Handelsgesellschaft mbH	Sven Petersen	Coordinator Foreign Markets	Germany	(04721) 8714		(04721) 8713	27478		13
Viale Dante, 75	Ravenna	Formaggi Fortini s.r.l.	Elio Rossi	Sales Representative	Italy	(0544) 60603		(0544) 60323	48100		14
Hatlevegen 5	Sandvika	Norske Meierier	Beate Vileid	Marketing Manager	Norway			(0)2-953010	1320		15
3400 - 8th Avenue\nSuite 210	Bend	Bigfoot Breweries	Cheryl Saylor	Regional Account Rep.	USA			(503) 555-9931	97101	OR	16
Brovallavagen 231	Stockholm	Svensk Sjofoda AB	Michael Bjorn	Sales Representative	Sweden			08-123 45 67	S-123 45		17
203, Rue des Francs-Bourgeois	Paris	Aux joyeux ecclesiastiques	Guylene Nodier	Sales Manager	France	(1) 03.83.00.62		(1) 03.83.00.68	75004		18
Order Processing Dept.\n2100 Paul Revere Blvd.	Boston	New England Seafood Cannery	Robb Merchant	Wholesale Account Agent	USA	(617) 555-3389		(617) 555-3267	02134	MA	19
471 Serangoon Loop, Suite #402	Singapore	Leka Trading	Chandra Leka	Owner	Singapore			555-8787	0512		20
Lyngbysild\nFiskebakken 10	Lyngby	Lyngbysild	Niels Petersen	Sales Manager	Denmark	43844115		43844108	2800		21
Verkoop\nRijnweg 22	Zaandam	Zaanse Snoepfabriek	Dirk Luchte	Accounting Manager	Netherlands	(12345) 1210		(12345) 1212	9999 ZZ		22
Valtakatu 12	Lappeenranta	Karkki Oy	Anne Heikkonen	Product Manager	Finland			(953) 10956	53120		23
170 Prince Edward Parade\nHunter's Hill	Sydney	G'day, Mate	Wendy Mackenzie	Sales Representative	Australia	(02) 555-4873	G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#	(02) 555-5914	2042	NSW	24
2960 Rue St. Laurent	Montreal	Ma Maison	Jean-Guy Lauzon	Marketing Manager	Canada			(514) 555-9022	H1J 1C3	Quebec	25
Via dei Gelsomini, 153	Salerno	Pasta Buttini s.r.l.	Giovanni Giudici	Order Administrator	Italy	(089) 6547667		(089) 6547665	84100		26
22, rue H. Voiron	Montceau	Escargots Nouveaux	Marie Delamare	Sales Manager	France			85.57.00.07	71300		27
Bat. B\n3, rue des Alpes	Annecy	Gai paturage	Eliane Noz	Sales Representative	France	38.76.98.58		38.76.98.06	74000		28
148 rue Chasseur	Ste-Hyacinthe	Forets d'erables	Chantal Goulet	Accounting Manager	Canada	(514) 555-2921		(514) 555-2955	J2S 7S8	Quebec	29
